,,,,,,,,,
Qty,Value,Device,Package,Parts,Description,MANUFACTURER,MFR_PN,PROD_ID,VALUE
5,3-641215-2,3-641215-2,3-641215-2,"J5, J6, J14, J48, J49",header 2 pin 100mil spacing,TE Connectivity AMP connectors,,,
1,3-641215-3,3-641215-3,3-641215-3,J13,CONN 3 pin header 100mil,TE Connectivity AMP connectors,,,
5,3-641215-4,3-641215-4,3-641215-4,"J15, J16, J43, J44, J45",CONN HEADER VERT 4POS .100 30AU,TE Connectivity AMP connectors,,,
1,3-641215-5,3-641215-5,3-641215-5,J46,Connector 5 pin 100 mil,TE Connectivity AMP connectors,,,
1,3.09M,R-0603,603,R194,,,,,
4,3.3K,R-0805,805,"R27, R28, R175, R176",,,,,
1,3.3k,R-US_R0603,R0603,R207,"RESISTOR, American symbol",,,,
3,"3.3uF,16V",C-US-NP0603,C0603,"C183, C184, C185","Capacitor, US symbol, non-polarized",,,,
1,3.57K,R-0603,603,R8,,,,,
1,3.9k,R-US_R0603,R0603,R211,"RESISTOR, American symbol",,,,
1,3001/3.3V,3001,3001,B1,"Through hole battery holder, 12mm cell, for BR1216, CR1216, BR1220, CL1220, CR1220, BR1225",,,,
1,33,R-US_R0603,R0603,R206,"RESISTOR, American symbol",,,,
1,330pF,C-0603,603,C164,,,,,
1,33K,R-0603,603,R14,,,,,
1,3k,R-0603,603,R35,,,,,
1,4.7K,R-0603,603,R33,,,,,
1,4.7uF/16V,C-0805,805,C11,,,,,
3,4.7uF/6.3V,C-0603,603,"C16, C20, C115",,,,,
2,4.7uF/6.3V,C-US-NP0603,C0603,"C127, C141","Capacitor, US symbol, non-polarized",Samsung,CL10A475KA8NQNC,,
1,470K,R-0603-0RTOP,0603-0RTOP,R12,,,,,
2,470R,R-0603,603,"R151, R152",,,,,
2,47K,R-0603,603,"R187, R190",,,,,
1,47R,R-0603,603,R1,,,,,
2,47u/6.3V,C-1210,1210,"C157, C158",Capacitor 1210 3.2x2.5mm,,,,
1,"5.90k,1%",R-US_R0603,R0603,R164,"RESISTOR, American symbol",Panasonic,ERJ-3EKF5901V,,
1,"5.90k,1%",R-US_R0603,R0603,R181,"RESISTOR, American symbol",Panasonic,ERJ-3EKFxxxxV,,
1,5pF,C-0603,603,C159,,,,,
1,6.8k,R-US_R0603,R0603,R208,"RESISTOR, American symbol",,,,
2,649R,R-0603,603,"R18, R19",,,,,
1,7B-28.63636MAAJ-T,7B-27.120MAAJ-T,7B,Q4,"Crystal 5x3.2mm, 18pF+-30ppm",,,,
1,"93.1k,1%",R-US_R0603,R0603,R165,"RESISTOR, American symbol",Panasonic,ERJ-3EKF9312V,,
1,"93.1k,1%",R-US_R0603,R0603,R182,"RESISTOR, American symbol",Panasonic,ERJ-3EKFxxxxV,,
1,ADS1015,ADS1015,MSOP10,U3,12-Bit Del-Sig ADC,Texas Instruments,,IC-12239,ADS1015
1,BAS70-05E6327,BAS70-05E6327,SOT-23,D1,"Diode Schottky 70mA, 70V",,,,
1,BAT54BRW-7F,BAT54BRW-7F,SOT-363,D31,DIODE SCHOTTKY 0.2A 30V ARR DL 30V SOT363,,,,
1,BSS138,BSS138,SOT23,Q24,BSS138W N-chan MOSFET,,,,
1,CCM03-3504LFT-NR,CCM03-3504LFT-NR,CCM03-3504LFT-NR,J10,CONN SMART CARD FIXED 8PIN SMD,,,,
1,CM519 32.768KDZF-UT,CM519,CM519,Q6,,,,,
1,CR75-330KC,CR75-330KC,CR75,L13,"Inductor power,  27uH, 0.12R 1.3A, 33uH, 0.13R 1.2A",,,,
1,CR75NP-220KC,CR75-330KC,CR75,L14,"Inductor power,  27uH, 0.12R 1.3A, 33uH, 0.13R 1.2A",,,,
